timestamp,tti,rnti,event_type,pdsch_nof_prb,pdsch_nof_re,pdsch_tbs,pdsch_mod,pdsch_rv,pusch_rb_start,pusch_rb_len,pusch_nof_re,pusch_tbs,pusch_mod,pusch_rv,pusch_crc,pusch_snr_db,pusch_epre_dbfs,pusch_ta_us,pusch_cfo_hz,pusch_proc_us,pucch_format,pucch_snr_db,pucch_corr,pucch_sr,pucch_cqi,pucch_ack,phr_db,bsr_lc0,bsr_lc1,bsr_lc2,bsr_lc3,epoch_s,gnb,phase,handover_phase,prb_util_pct,dl_mod_label,ul_mod_label
2026-08-18T10:08:42.073497,7171,0x46,PDSCH,48,7056,3822,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.073497,gnb1,ramp,pre,96.0,64QAM,
2026-08-18T10:08:42.171822,7173,0x46,PUSCH,,,,,,2,10,1296,517,4,0,OK,111.4,142.8,0.0,-0.0,209,,,,,,,,,,,,1787047722.171822,gnb1,ramp,pre,20.0,,16QAM
2026-08-18T10:08:42.367869,7179,0x46,PDSCH,3,450,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.367869,gnb1,ramp,pre,6.0,QPSK,
2026-08-18T10:08:42.453787,7182,0x46,PUSCH,,,,,,2,11,1440,621,4,0,OK,110.0,142.5,0.0,0.0,242,,,,,,,,,,,,1787047722.453787,gnb1,ramp,pre,22.0,,16QAM
2026-08-18T10:08:42.486049,7183,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.486049,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.510734,7184,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.510734,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.540684,7185,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.540684,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.565020,7186,0x46,PDSCH,50,7080,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.565020,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.601542,7187,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.601542,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.620924,7188,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.620924,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.655838,7189,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.655838,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.693732,7190,0x46,PUSCH,,,,,,2,11,1440,621,4,0,OK,110.0,142.4,0.0,0.0,197,,,,,,,,,,,,1787047722.693732,gnb1,ramp,pre,22.0,,16QAM
2026-08-18T10:08:42.693770,7190,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047722.693770,gnb1,ramp,pre,,,
2026-08-18T10:08:42.694442,7190,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.694442,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.694874,7191,0x46,BSR,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1787047722.694874,gnb1,ramp,pre,,,
2026-08-18T10:08:42.695109,7191,0x46,PDSCH,36,5256,2769,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.695109,gnb1,ramp,pre,72.0,64QAM,
2026-08-18T10:08:42.721598,7192,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.721598,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.778589,7193,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.778589,gnb1,ramp,pre,100.0,64QAM,
2026-08-18T10:08:42.779549,7194,0x46,PDSCH,50,7500,4587,6,0,,,,,,,,,,,,,,,,,,,,,,,,1787047722.779549,gnb1,ramp,pre,100.0,64QAM,
