timestamp,tti,rnti,event_type,pdsch_nof_prb,pdsch_nof_re,pdsch_tbs,pdsch_mod,pdsch_rv,pusch_rb_start,pusch_rb_len,pusch_nof_re,pusch_tbs,pusch_mod,pusch_rv,pusch_crc,pusch_snr_db,pusch_epre_dbfs,pusch_ta_us,pusch_cfo_hz,pusch_proc_us,pucch_format,pucch_snr_db,pucch_corr,pucch_sr,pucch_cqi,pucch_ack,phr_db,bsr_lc0,bsr_lc1,bsr_lc2,bsr_lc3
2026-08-18T10:37:40.840103,280,0x46,PDSCH,3,450,185,6,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:40.915989,282,0x46,PDSCH,3,450,185,6,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:40.957557,283,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:40.987964,284,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.015442,285,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.046550,286,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.076424,287,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.104660,288,0x46,PDSCH,3,450,185,6,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.136336,289,0x46,PUSCH,,,,,,2,46,6480,2865,4,0,OK,109.0,135.8,0.0,0.0,373,,,,,,,,,,,
2026-08-18T10:37:41.136434,289,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.175541,290,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.205246,291,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.236481,292,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.301076,293,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.344617,294,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.381664,295,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.412957,296,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.444139,297,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.476105,298,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.510523,299,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T10:37:41.538433,300,0x46,PDSCH,3,450,93,4,0,,,,,,,,,,,,,,,,,,,,,,,
