ue_count,n_samples,source,cpu_pct_proc_mean,cpu_user_pct_mean,cpu_sys_pct_mean,cpu_freq_mhz_mean,irq_rate_mean,mem_used_mb_mean,temp_c_mean,rapl_pkg0_w_mean,rapl_dram_w_mean,ipc_mean,dl_brate_mbps_mean,ul_brate_mbps_mean,active_slots_mean,dl_mcs_avg_mean,ul_mcs_avg_mean,dl_cqi_avg_mean,ul_snr_avg_mean,dl_prb_avg_mean,ul_prb_avg_mean,dl_bler_mean,ul_bler_mean,cpu_pct_proc_std,cpu_user_pct_std,cpu_sys_pct_std,cpu_freq_mhz_std,irq_rate_std,mem_used_mb_std,temp_c_std,rapl_pkg0_w_std,rapl_dram_w_std,ipc_std,dl_brate_mbps_std,ul_brate_mbps_std,active_slots_std,dl_mcs_avg_std,ul_mcs_avg_std,dl_cqi_avg_std,ul_snr_avg_std,dl_prb_avg_std,ul_prb_avg_std,dl_bler_std,ul_bler_std
23,28,measured,32.1607,13.4036,16.2893,1420.1786,1997867.0357,40121.1786,68.0714,22.0229,2.5129,0.0,1.5804,74.0501,40.0,13.7018,0.0,0.0,109.4558,0.0,42.9783,0.0,0.0,0.9199,0.4517,0.5245,61.6964,7586.34,13.6817,0.8133,0.766,0.0348,0.0,0.0515,1.9349,0.0,0.0997,0.0,0.0,0.0367,0.0,0.0927,0.0,0.0
24,29,measured,32.2793,13.4069,16.3586,1397.6552,2003280.2069,40171.2069,68.7241,22.0207,2.5007,0.0,1.5771,74.6087,40.0,13.5555,0.0,0.0,109.487,0.0,42.8174,0.0,0.0,1.0544,0.5113,0.5666,51.3276,6869.0469,19.3767,0.751,0.9146,0.0371,0.0,0.0911,4.6928,0.0,0.254,0.0,0.0,0.0268,0.0,0.1033,0.0,0.0
25,28,measured,32.2607,13.4607,16.3071,1399.6071,2006636.8571,40180.9643,68.3929,22.0018,2.545,0.0,1.4561,68.5511,40.0,13.6959,0.0,0.0,109.4784,0.0,42.8521,0.0,0.0,0.8791,0.4058,0.5347,61.2888,9429.5783,22.3084,0.9165,0.7698,0.0561,0.0,0.0856,4.5825,0.0,0.172,0.0,0.0,0.0343,0.0,0.1461,0.0,0.0
26,29,measured,33.1379,14.0103,16.4966,1401.3103,2016422.6207,40305.6897,68.6897,21.989,2.5828,0.0,1.8908,92.3385,40.0,13.8379,0.0,0.0,109.4223,0.0,43.0637,0.0,0.0,1.0877,0.5531,0.5571,57.9748,9882.5666,51.1665,0.6038,0.7662,0.0368,0.0,0.2088,11.1959,0.0,0.2159,0.0,0.0,0.0595,0.0,0.1629,0.0,0.0
27,29,measured,33.569,14.4552,16.2759,1429.5517,2029413.4483,40449.7586,68.4138,22.4021,2.7014,0.0,3.03,146.0754,40.0,13.6932,0.0,0.0,109.3494,0.0,43.2903,0.0,0.0,1.0107,0.5221,0.5423,53.6614,9589.7704,37.899,0.7328,0.7189,0.0659,0.0,0.4212,17.8122,0.0,0.1803,0.0,0.0,0.0499,0.0,0.0858,0.0,0.0
28,28,measured,35.3964,15.4714,16.9893,1383.25,2030323.3929,40560.0714,68.25,21.8864,2.8221,0.0,3.2411,154.1764,40.0,13.6891,0.0,0.0,109.2668,0.0,43.4082,0.0,0.0,1.0419,0.4845,0.5336,49.1819,9412.7459,37.6386,0.7005,0.6969,0.0606,0.0,0.2783,9.843,0.0,0.1411,0.0,0.0,0.0755,0.0,0.0894,0.0,0.0
29,29,measured,35.7241,15.9034,16.969,1402.3793,2027765.0345,40669.6207,68.4483,22.3945,2.931,0.0,4.6747,197.38,40.0,13.5854,0.0,0.0,109.1628,0.0,43.5562,0.0,0.0,0.9988,0.4555,0.6448,33.6212,7751.8012,33.9384,0.6317,0.9872,0.0554,0.0,0.8463,29.8825,0.0,0.1563,0.0,0.0,0.109,0.0,0.077,0.0,0.0
30,29,measured,35.6034,15.8724,16.931,1406.3103,2023385.5517,40781.3103,68.8966,22.8717,3.0893,0.0,5.7396,247.9789,40.0,13.5477,0.0,0.0,109.0536,0.0,43.6384,0.0,0.0,0.8571,0.4582,0.4449,33.4782,11778.3421,37.2876,0.817,0.7892,0.057,0.0,0.4576,11.2917,0.0,0.2756,0.0,0.0,0.1173,0.0,0.0654,0.0,0.0
31,28,measured,36.2429,16.275,17.0429,1412.5,2018774.9643,40889.1786,69.1429,22.8979,3.1507,0.0,6.7358,269.4282,40.0,14.2301,0.0,0.0,108.9628,0.0,43.7143,0.0,0.0,0.8896,0.4213,0.4826,50.6122,8700.7119,34.2821,0.7052,0.8506,0.0345,0.0,0.4134,12.0759,0.0,0.4058,0.0,0.0,0.1842,0.0,0.0387,0.0,0.0
32,29,measured,36.7,16.5621,17.2034,1400.5172,2015898.3793,40989.8621,69.069,23.2669,3.2393,0.0,6.5086,265.7672,40.0,14.4807,0.0,0.0,108.8464,0.0,43.7872,0.0,0.0,1.0166,0.4996,0.4968,37.8952,6917.5453,33.0905,0.5935,0.8141,0.0474,0.0,0.1727,7.1323,0.0,0.3034,0.0,0.0,0.2248,0.0,0.0698,0.0,0.0
33,29,measured,37.131,16.6724,17.3897,1403.6897,2019557.3103,41094.6897,69.1379,22.9631,3.2131,0.0,6.8651,243.9051,40.0,14.8448,0.0,0.0,108.6808,0.0,43.7868,0.0,0.0,1.0135,0.5006,0.4647,39.3111,6965.8692,27.7258,0.693,0.9372,0.0304,0.0,0.3813,6.9302,0.0,0.2879,0.0,0.0,0.2978,0.0,0.0441,0.0,0.0
34,29,measured,35.0862,14.5345,17.3759,1373.8621,2020258.8276,41195.7586,68.8966,22.051,2.9448,0.0,5.6639,203.4232,40.0,11.8203,0.0,0.0,75.0447,0.0,41.1821,0.0,0.0,2.1874,2.2153,0.5104,46.8659,6055.0834,34.8237,0.7243,1.0474,0.2455,0.0,1.2718,55.1105,0.0,5.883,0.0,0.0,46.2077,0.0,9.1557,0.0,0.0
35,28,measured,32.7393,12.225,17.2571,1366.1071,2029125.1071,41272.8929,68.2857,21.6768,2.735,0.0,0.3668,12.2278,40.0,1.7982,0.0,0.0,10.2993,0.0,42.0772,0.0,0.0,0.9788,0.3307,0.6309,35.8602,7170.5817,15.9126,0.6587,0.7485,0.031,0.0,0.7473,25.1324,0.0,2.804,0.0,0.0,10.3035,0.0,6.747,0.0,0.0
36,29,measured,31.9138,11.9966,16.7414,1386.0,2034820.7241,41282.3103,68.4483,22.3045,2.7924,0.0,0.0,0.0,40.0,1.6377,0.0,0.0,6.8212,0.0,44.1441,0.0,0.0,0.8249,0.3708,0.4807,37.0935,10515.2019,4.4809,0.6317,0.7966,0.0321,0.0,0.0,0.0,0.0,3.2457,0.0,0.0,2.0526,0.0,1.1484,0.0,0.0
37,29,measured,32.1103,12.1241,16.8241,1367.6207,2027351.8276,41260.4828,68.7931,21.9469,2.7621,0.0,0.0,0.0,40.0,2.8978,0.0,0.0,5.8142,0.0,44.6437,0.0,0.0,0.596,0.3181,0.418,19.2603,7203.6421,8.6834,0.5593,0.6813,0.0332,0.0,0.0,0.0,0.0,4.2557,0.0,0.0,1.6967,0.0,0.6716,0.0,0.0
38,20,measured,32.565,12.275,17.09,1370.55,2022741.95,41245.25,68.4,21.732,2.746,0.0,0.0,0.0,40.0,1.5834,0.0,0.0,5.7484,0.0,43.7732,0.0,0.0,0.7562,0.4051,0.3669,36.6972,6246.8999,4.8653,0.7539,0.6412,0.0303,0.0,0.0,0.0,0.0,4.5518,0.0,0.0,1.3071,0.0,2.4573,0.0,0.0
39,0,extrapolated,36.1699,14.5911,18.1616,1334.0838,2013719.8128,41728.6157,69.2415,21.8002,3.1187,0.0,7.5453,244.3859,40.0,10.4825,0.0,0.0,50.5413,0.0,39.6762,0.0,0.0,3.0279,3.4247,0.4876,42.012,3530.307,32.6271,0.7182,1.282,0.3738,0.0,1.8794,81.7521,0.0,9.9564,0.0,0.0,79.1776,0.0,15.6342,0.0,0.0
40,0,extrapolated,36.3867,14.6025,18.3188,1326.1282,2012412.0099,41835.1872,69.3104,21.7501,3.1534,0.0,7.9215,252.5785,40.0,10.215,0.0,0.0,45.6407,0.0,39.3751,0.0,0.0,3.196,3.6666,0.4831,41.0412,3025.3517,32.1877,0.717,1.329,0.3994,0.0,2.0009,87.0805,0.0,10.771,0.0,0.0,85.7715,0.0,16.9299,0.0,0.0
41,0,extrapolated,36.6034,14.6138,18.4759,1318.1725,2011104.2069,41941.7586,69.3794,21.6999,3.1882,0.0,8.2978,260.771,40.0,9.9474,0.0,0.0,40.74,0.0,39.0739,0.0,0.0,3.3641,3.9085,0.4785,40.0704,2520.3964,31.7484,0.7158,1.3759,0.4251,0.0,2.1224,92.4088,0.0,11.5857,0.0,0.0,92.3655,0.0,18.2256,0.0,0.0
42,0,extrapolated,36.8201,14.6251,18.633,1310.2168,2009796.4039,42048.33,69.4484,21.6497,3.223,0.0,8.6741,268.9635,40.0,9.6798,0.0,0.0,35.8393,0.0,38.7727,0.0,0.0,3.5322,4.1504,0.4739,39.0996,2015.4411,31.3091,0.7146,1.4228,0.4508,0.0,2.2439,97.7371,0.0,12.4004,0.0,0.0,98.9595,0.0,19.5213,0.0,0.0
43,0,extrapolated,37.0369,14.6365,18.7902,1302.2612,2008488.601,42154.9015,69.5173,21.5996,3.2577,0.0,9.0503,277.1561,40.0,9.4123,0.0,0.0,30.9387,0.0,38.4716,0.0,0.0,3.7003,4.3923,0.4694,38.1288,1510.4858,30.8697,0.7134,1.4698,0.4764,0.0,2.3654,103.0655,0.0,13.215,0.0,0.0,105.5534,0.0,20.817,0.0,0.0
44,0,extrapolated,37.2536,14.6478,18.9473,1294.3055,2007180.798,42261.4729,69.5863,21.5494,3.2925,0.0,9.4266,285.3486,40.0,9.1447,0.0,0.0,26.038,0.0,38.1704,0.0,0.0,3.8684,4.6342,0.4648,37.158,1005.5305,30.4304,0.7122,1.5167,0.5021,0.0,2.4869,108.3938,0.0,14.0297,0.0,0.0,112.1474,0.0,22.1127,0.0,0.0
45,0,extrapolated,37.4704,14.6591,19.1045,1286.3499,2005872.9951,42368.0443,69.6553,21.4993,3.3273,0.0,9.8029,293.5412,40.0,8.8772,0.0,0.0,21.1373,0.0,37.8692,0.0,0.0,4.0365,4.876,0.4603,36.1873,500.5753,29.9911,0.7109,1.5636,0.5277,0.0,2.6085,113.7221,0.0,14.8444,0.0,0.0,118.7414,0.0,23.4084,0.0,0.0
46,0,extrapolated,37.6871,14.6704,19.2616,1278.3942,2004565.1921,42474.6157,69.7243,21.4491,3.3621,0.0,10.1792,301.7337,40.0,8.6096,0.0,0.0,16.2366,0.0,37.568,0.0,0.0,4.2046,5.1179,0.4557,35.2165,0.0,29.5518,0.7097,1.6105,0.5534,0.0,2.73,119.0504,0.0,15.6591,0.0,0.0,125.3354,0.0,24.7041,0.0,0.0
47,0,extrapolated,37.9039,14.6818,19.4188,1270.4386,2003257.3892,42581.1872,69.7932,21.399,3.3968,0.0,10.5554,309.9263,40.0,8.3421,0.0,0.0,11.336,0.0,37.2669,0.0,0.0,4.3727,5.3598,0.4512,34.2457,0.0,29.1124,0.7085,1.6575,0.579,0.0,2.8515,124.3788,0.0,16.4737,0.0,0.0,131.9293,0.0,25.9998,0.0,0.0
48,0,extrapolated,38.1206,14.6931,19.5759,1262.4829,2001949.5862,42687.7586,69.8622,21.3488,3.4316,0.0,10.9317,318.1188,40.0,8.0745,0.0,0.0,6.4353,0.0,36.9657,0.0,0.0,4.5408,5.6017,0.4466,33.2749,0.0,28.6731,0.7073,1.7044,0.6047,0.0,2.973,129.7071,0.0,17.2884,0.0,0.0,138.5233,0.0,27.2955,0.0,0.0
49,0,extrapolated,38.3373,14.7044,19.733,1254.5272,2000641.7832,42794.33,69.9312,21.2986,3.4664,0.0,11.308,326.3113,40.0,7.8069,0.0,0.0,1.5346,0.0,36.6645,0.0,0.0,4.7089,5.8436,0.442,32.3041,0.0,28.2338,0.7061,1.7513,0.6304,0.0,3.0945,135.0354,0.0,18.1031,0.0,0.0,145.1173,0.0,28.5912,0.0,0.0
50,0,extrapolated,38.5541,14.7158,19.8902,1246.5716,1999333.9803,42900.9015,70.0001,21.2485,3.5011,0.0,11.6842,334.5039,40.0,7.5394,0.0,0.0,-3.366,0.0,36.3634,0.0,0.0,4.877,6.0855,0.4375,31.3333,0.0,27.7944,0.7049,1.7983,0.656,0.0,3.216,140.3638,0.0,18.9177,0.0,0.0,151.7112,0.0,29.8869,0.0,0.0
