event_type,ue_id,gnb,timestamp_utc,epoch_s,total_ues_gnb1,total_ues_gnb2,attach_ok,attach_latency_s,ue_ip,ho_total_ms,ping_loss_pct,ping_rtt_min_ms,ping_rtt_avg_ms,ping_rtt_max_ms,iperf_dl_mbps,iperf_ul_mbps,gnb_pkg0_watts,gnb_pkg1_watts,gnb_total_watts,gnb_load1,gnb_load5,gnb_cpu_max_pct,sysmon_cpu_user_pct,sysmon_cpu_sys_pct,sysmon_cpu_softirq_pct,sysmon_cpu_idle_pct,sysmon_ctx_switches_per_s,sysmon_intr_per_s,sysmon_softirq_net_rx_per_s,sysmon_softirq_net_tx_per_s,sysmon_softirq_timer_per_s,sysmon_softirq_sched_per_s,sysmon_softirq_rcu_per_s,sysmon_ipc,sysmon_cpu_freq_mhz_avg,sysmon_rapl_uj_delta,proc_cpu_pct,proc_rss_kB,proc_sched_run_ns,proc_sched_wait_ns,ran_combined_pdsch_prb_mean,ran_combined_pusch_snr_mean,ran_combined_pusch_proc_us_mean,ran_combined_phr_mean,notes
attach_gnb2,57,gnb2,2026-08-19T10:41:57Z,1787136117.936,49,1,1,,10.45.0.86,129992.0,100,,,,0,0,12.7505,9.2414,21.9920,0.39,0.13,1,0.08,0.16,0.0,99.76,33180.0,18561.0,2094.0,0.0,72.0,687.0,114.0,0.0008,1274.4,72259275,151.24,854860,1254165487,1015227,20.77,111.56,146.84,,UE57_on_gnb2_gnb2has_1UEs
attach_gnb1,58,gnb1,2026-08-19T10:46:03Z,1787136363.648,50,0,1,30.19,10.45.0.87,,100,,,,0,0,23.4088,20.9077,44.3166,12.67,12.87,36,11.48,16.69,3.6,68.23,1533771.0,675698.0,52594.0,6522.0,819.0,7683.0,4058.0,0.1148,1415.0,128020181,9579831.43,855584,3194048523536,1397730270215,28.99,112.18,226.83,,UE58_attached_gnb1_50UEs
post_lb_gnb1,58,gnb1,2026-08-19T10:46:46Z,1787136406.520,49,0,0,,,22184.0,100,,,,0,0,21.8815,21.1926,43.0741,12.37,12.88,36,11.36,16.76,3.73,68.15,1508516.0,670969.0,53356.0,9810.0,449.0,7663.0,3998.0,0.1136,1401.6,129599888,9566959.75,855584,3194194765977,1397800681876,,,,,UE58_removed_from_gnb1_49UEs
attach_gnb2,58,gnb2,2026-08-19T10:49:33Z,1787136573.474,49,1,1,,10.45.0.88,144169.0,100,,,,0,0,12.2442,9.2380,21.4821,0.05,0.06,1,0.05,0.07,0.0,99.87,32619.0,17319.0,916.0,0.0,84.0,672.0,108.0,0.0005,1290.4,67859018,173.14,854748,1249009810,230051,19.04,111.56,147.82,,UE58_on_gnb2_gnb2has_1UEs
attach_gnb1,59,gnb1,2026-08-19T10:53:40Z,1787136820.518,50,0,1,30.69,10.45.0.89,,100,,,,0,0,22.6997,21.3384,44.0381,12.31,12.56,36,11.49,16.91,3.79,67.81,1533975.0,678676.0,52664.0,7953.0,709.0,7672.0,4142.0,0.1149,1435.9,127587442,9595375.51,855584,3194698975273,1398031273525,29.43,112.48,222.77,,UE59_attached_gnb1_50UEs
post_lb_gnb1,59,gnb1,2026-08-19T10:54:23Z,1787136863.576,49,0,0,,,21962.0,100,,,,0,0,20.7756,21.3586,42.1342,15.05,13.65,36,11.45,16.66,3.82,68.06,1503482.0,667717.0,53237.0,9656.0,411.0,7596.0,4032.0,0.1145,1376.6,126073896,9542404.22,855584,3194844377894,1398101715280,,,,,UE59_removed_from_gnb1_49UEs
attach_gnb2,59,gnb2,2026-08-19T10:57:03Z,1787137023.469,49,1,1,,10.45.0.90,137353.0,100,,,,0,0,12.3493,9.2681,21.6174,0.22,0.07,1,0.06,0.07,0.02,99.85,33138.0,17947.0,1579.0,1.0,72.0,644.0,109.0,0.0006,1233.6,68174936,165.9,854860,1266650545,215084,17.86,111.57,145.92,,UE59_on_gnb2_gnb2has_1UEs
attach_gnb1,60,gnb1,2026-08-19T11:01:16Z,1787137276.192,50,0,1,35.56,10.45.0.91,,100,,,,0,0,25.2445,21.0089,46.2534,12.80,13.37,36,11.11,16.83,3.36,68.69,1532227.0,676150.0,53027.0,6367.0,825.0,7603.0,4182.0,0.1111,1454.7,136455461,9556902.22,855584,3195344357772,1398340531773,30.55,112.45,223.91,,UE60_attached_gnb1_50UEs
post_lb_gnb1,60,gnb1,2026-08-19T11:01:58Z,1787137318.969,49,0,0,,,21823.0,100,,,,0,0,21.5986,21.4012,42.9998,11.68,12.97,36,11.08,15.74,3.71,69.48,1514748.0,671870.0,53897.0,9444.0,482.0,7676.0,4099.0,0.1108,1464.0,133783227,9577711.75,855584,3195498256629,1398409591530,,,,,UE60_removed_from_gnb1_49UEs
attach_gnb2,60,gnb2,2026-08-19T11:04:31Z,1787137471.237,49,1,1,,10.45.0.92,129811.0,100,,,,0,0,10.5672,10.8894,21.4566,0.05,0.03,1,0.07,0.1,0.01,99.82,33199.0,18346.0,1954.0,1.0,80.0,712.0,112.0,0.0007,1275.6,58516452,162.54,855032,1576835674,57581,16.72,111.57,143.73,,UE60_on_gnb2_gnb2has_1UEs
